year,prizes,full_prizes
2020-04-05,江苏1注福建1注广东1注贵州1注共4注。,一等奖中奖情况：江苏1注福建1注广东1注贵州1注共4注。
2020-04-02,河北2注山西1注辽宁1注浙江1注江西1注广东1注共7注。,一等奖中奖情况：河北2注山西1注辽宁1注浙江1注江西1注广东1注共7注。
2020-03-31,辽宁2注黑龙江1注上海1注江苏2注山东1注陕西1注共8注。,一等奖中奖情况：辽宁2注黑龙江1注上海1注江苏2注山东1注陕西1注共8注。
2020-03-29,内蒙古1注江苏6注浙江1注安徽1注福建2注山东1注广东1注陕西2注共15注。,一等奖中奖情况：内蒙古1注江苏6注浙江1注安徽1注福建2注山东1注广东1注陕西2注共15注。
2020-03-26,辽宁4注上海1注江苏1注福建1注江西1注广西3注海南1注共12注。,一等奖中奖情况：辽宁4注上海1注江苏1注福建1注江西1注广西3注海南1注共12注。
2020-03-24,福建1注共1注。,一等奖中奖情况：福建1注共1注。
2020-03-22,内蒙古1注浙江1注广东1注陕西1注甘肃1注共5注。,一等奖中奖情况：内蒙古1注浙江1注广东1注陕西1注甘肃1注共5注。
2020-03-19,山西1注辽宁1注浙江2注共4注。,一等奖中奖情况：山西1注辽宁1注浙江2注共4注。
2020-03-17,江西1注山东1注云南1注共3注。,一等奖中奖情况：江西1注山东1注云南1注共3注。
2020-03-15,上海1注浙江2注安徽1注江西1注山东1注广西1注云南1注共8注。,一等奖中奖情况：上海1注浙江2注安徽1注江西1注山东1注广西1注云南1注共8注。
2020-03-12,江苏1注陕西1注共2注。,一等奖中奖情况：江苏1注陕西1注共2注。
2020-01-21,北京6注辽宁1注上海1注江苏2注山东2注重庆1注广东1注四川2注共16注。,一等奖中奖情况：北京6注辽宁1注上海1注江苏2注山东2注重庆1注广东1注四川2注共16注。
2020-01-19,河北4注山西1注辽宁1注江苏1注福建2注山东1注河南2注湖南1注四川1注贵州1注新疆2注共17注。,一等奖中奖情况：河北4注山西1注辽宁1注江苏1注福建2注山东1注河南2注湖南1注四川1注贵州1注新疆2注共17注。
2020-01-16,天津1注河北1注吉林1注上海6注江苏1注浙江1注安徽15注江西1注湖北2注广东1注广西4注四川1注云南1注深圳2注共38注。,一等奖中奖情况：天津1注河北1注吉林1注上海6注江苏1注浙江1注安徽15注江西1注湖北2注广东1注广西4注四川1注云南1注深圳2注共38注。
2020-01-14,浙江12注重庆1注河南1注广东1注广西1注四川4注共20注。,一等奖中奖情况：浙江12注重庆1注河南1注广东1注广西1注四川4注共20注。
2020-01-12,河北3注安徽1注江西1注湖北2注广西1注共8注。,一等奖中奖情况：河北3注安徽1注江西1注湖北2注广西1注共8注。
2020-01-09,山西1注浙江2注山东1注广东1注广西1注云南1注共7注。,一等奖中奖情况：山西1注浙江2注山东1注广东1注广西1注云南1注共7注。
2020-01-07,江苏1注浙江12注湖北1注湖南1注云南1注共16注。,一等奖中奖情况：江苏1注浙江12注湖北1注湖南1注云南1注共16注。
2020-01-05,北京1注天津1注河北1注山西1注辽宁1注江苏1注安徽1注山东2注重庆2注广东2注贵州1注云南2注共16注。,一等奖中奖情况：北京1注天津1注河北1注山西1注辽宁1注江苏1注安徽1注山东2注重庆2注广东2注贵州1注云南2注共16注。
2020-01-02,河南1注湖北1注四川2注共4注。,一等奖中奖情况：河南1注湖北1注四川2注共4注。
2019-12-31,辽宁1注吉林1注福建1注湖南1注广西1注青海1注深圳2注共8注。,一等奖中奖情况：辽宁1注吉林1注福建1注湖南1注广西1注青海1注深圳2注共8注。
2019-12-29,安徽1注山东1注广东1注陕西1注深圳5注共9注。,一等奖中奖情况：安徽1注山东1注广东1注陕西1注深圳5注共9注。
2019-12-26,北京1注江苏1注浙江6注福建1注湖南1注广东1注四川1注云南1注陕西2注深圳1注共16注。其中一等奖特别奖为：北京1注云南1注陕西2注深圳1注。,一等奖中奖情况：北京1注江苏1注浙江6注福建1注湖南1注广东1注四川1注云南1注陕西2注深圳1注共16注。其中一等奖特别奖为：北京1注云南1注陕西2注深圳1注。
