期号,开奖日期,红球,蓝球,总销售额（元）,1注数,1中奖金额（元）,2注数,2中奖金额（元）,3注数,3中奖金额（元),奖池（元),详情
2020120,2020-11-29(日),010203040910,12,470788664,28,5529239,535,34623,7705,3000,738529199,http://www.cwl.gov.cn//c/2020-11-29/477698.shtml
2020119,2020-11-26(四),010922283233,15,432978556,12,6880004,117,241026,1983,3000,837777744,http://www.cwl.gov.cn//c/2020-11-26/477579.shtml
2020118,2020-11-24(二),111319263033,05,419968358,4,10000000,114,262410,1211,3000,835737606,http://www.cwl.gov.cn//c/2020-11-24/477464.shtml
2020117,2020-11-22(日),070809101627,07,460145954,19,5762819,225,80519,3796,3000,785993086,http://www.cwl.gov.cn//c/2020-11-22/477351.shtml
2020116,2020-11-19(四),050614161927,10,434234564,9,6979667,172,129484,2843,3000,841135768,http://www.cwl.gov.cn//c/2020-11-19/477332.shtml
2020115,2020-11-17(二),010412202532,02,435736254,2,10000000,114,291499,1070,3000,837138988,http://www.cwl.gov.cn//c/2020-11-17/477218.shtml
2020114,2020-11-15(日),010511243032,03,476450128,16,6478657,171,172942,2120,3000,757446327,http://www.cwl.gov.cn//c/2020-11-15/477104.shtml
2020113,2020-11-12(四),010307102232,11,436471868,7,5279749,114,21472,2770,3000,772385388,http://www.cwl.gov.cn//c/2020-11-12/477085.shtml
2020112,2020-11-10(二),020912172832,05,426910448,14,6657801,263,110309,1611,3000,802000209,http://www.cwl.gov.cn//c/2020-11-10/476971.shtml
2020111,2020-11-08(日),060917222426,16,459469274,3,10000000,106,365368,947,3000,808174858,http://www.cwl.gov.cn//c/2020-11-08/476857.shtml
2020110,2020-11-05(四),020609142225,04,365150166,9,6744907,102,192453,2128,3000,721987721,http://www.cwl.gov.cn//c/2020-11-05/476638.shtml
2020109,2020-11-03(二),061316202332,13,358593188,23,5708816,133,153221,1649,3000,723801259,http://www.cwl.gov.cn//c/2020-11-03/476524.shtml
2020108,2020-11-01(日),101215172332,05,398129794,18,5973588,123,178095,1781,3000,793968638,http://www.cwl.gov.cn//c/2020-11-01/476410.shtml
2020107,2020-10-29(四),030911242528,16,372099740,5,9250245,185,143589,1335,3000,835776030,http://www.cwl.gov.cn//c/2020-10-29/476291.shtml
2020106,2020-10-27(二),020411151828,10,362151946,14,5906931,123,129034,2500,3000,802335158,http://www.cwl.gov.cn//c/2020-10-27/476178.shtml
2020105,2020-10-25(日),061419202224,01,399513718,6,8700739,117,237226,1395,3000,837418291,http://www.cwl.gov.cn//c/2020-10-25/475969.shtml
2020104,2020-10-22(四),040810162729,09,371069028,9,6582593,102,174550,2007,3000,806356097,http://www.cwl.gov.cn//c/2020-10-22/475956.shtml
2020103,2020-10-20(二),040910222832,08,363566614,13,6122197,136,134086,2037,3000,812186919,http://www.cwl.gov.cn//c/2020-10-20/475640.shtml
2020102,2020-10-18(日),091019252629,08,385810668,73,5028416,472,6000,7605,3000,837068374,http://www.cwl.gov.cn//c/2020-10-18/475425.shtml
2020101,2020-10-15(四),101724252830,15,360073112,7,8298609,109,264796,884,3000,1196363693,http://www.cwl.gov.cn//c/2020-10-15/475312.shtml
2020100,2020-10-13(二),010715162023,07,352785364,9,6279386,119,120950,2231,3000,1167865459,http://www.cwl.gov.cn//c/2020-10-13/475202.shtml
2020099,2020-10-11(日),050611121530,12,390640850,7,7301898,258,78068,2455,3000,1181200651,http://www.cwl.gov.cn//c/2020-10-11/475092.shtml
2020098,2020-10-08(四),060811222533,02,347585130,7,8077008,172,156533,1043,3000,1171889114,http://www.cwl.gov.cn//c/2020-10-08/474979.shtml
2020097,2020-10-06(二),020821252630,10,352372566,22,5489356,418,32194,3847,3000,1147656700,http://www.cwl.gov.cn//c/2020-10-06/474969.shtml
2020096,2020-09-29(二),012023262732,15,356787262,8,8190972,57,559819,673,3000,1228050661,http://www.cwl.gov.cn//c/2020-09-29/474854.shtml
2020095,2020-09-27(日),030916172026,02,387062108,6,7745143,283,72751,2753,3000,1197849256,http://www.cwl.gov.cn//c/2020-09-27/474743.shtml
2020094,2020-09-24(四),101517272931,08,357043412,2,10000000,57,248955,1405,3000,1182554395,http://www.cwl.gov.cn//c/2020-09-24/474631.shtml
2020093,2020-09-22(二),040510131519,15,364874692,4,10000000,110,261408,1074,3000,1159982996,http://www.cwl.gov.cn//c/2020-09-22/474521.shtml
2020092,2020-09-20(日),010612182224,03,394714558,6,8324368,160,155829,2002,3000,1113718036,http://www.cwl.gov.cn//c/2020-09-20/474411.shtml
2020091,2020-09-17(四),010911121619,16,362307424,11,6771891,120,203029,1541,3000,1088865952,http://www.cwl.gov.cn//c/2020-09-17/474398.shtml
2020090,2020-09-15(二),022123263132,06,357200726,6,8569539,43,622594,773,3000,1090266240,http://www.cwl.gov.cn//c/2020-09-15/474088.shtml
2020089,2020-09-13(日),021416212930,10,388734662,11,7200974,113,267817,1002,3000,1061368833,http://www.cwl.gov.cn//c/2020-09-13/473978.shtml
2020088,2020-09-10(四),010612262930,12,359763320,14,6377823,175,137782,1777,3000,1049789346,http://www.cwl.gov.cn//c/2020-09-10/473965.shtml
2020087,2020-09-08(二),111520232533,10,351393474,5,7940558,44,417692,1430,3000,1066743130,http://www.cwl.gov.cn//c/2020-09-08/473855.shtml
2020086,2020-09-06(日),020406152427,06,383150704,7,7452652,117,183424,1870,3000,1051310454,http://www.cwl.gov.cn//c/2020-09-06/473745.shtml
2020085,2020-09-03(四),010205091924,16,349243256,3,10000000,135,175949,1659,3000,1039096893,http://www.cwl.gov.cn//c/2020-09-03/473632.shtml
2020084,2020-09-01(二),030716172330,07,340223360,15,5641465,265,45386,3166,3000,997837500,http://www.cwl.gov.cn//c/2020-09-01/473522.shtml
2020083,2020-08-30(日),011925263031,12,375628538,7,7916189,96,265798,1266,3000,1046377044,http://www.cwl.gov.cn//c/2020-08-30/473412.shtml
2020082,2020-08-27(四),020811172130,09,339738944,22,5094481,320,8119,4865,3000,1025240399,http://www.cwl.gov.cn//c/2020-08-27/473399.shtml
2020081,2020-08-25(二),010513142733,15,341884184,11,7057769,108,261984,771,3000,1129524256,http://www.cwl.gov.cn//c/2020-08-25/473289.shtml
2020080,2020-08-23(日),141518223133,01,375199530,2,10000000,70,397581,1011,3000,1122276717,http://www.cwl.gov.cn//c/2020-08-23/472979.shtml
2020079,2020-08-20(四),051220212229,14,347031342,6,8578055,183,146641,1179,3000,1058784536,http://www.cwl.gov.cn//c/2020-08-20/472866.shtml
