releaseNo,releaseNoY,year,numbers,total,avg,single,prize,wonPersonCount
1,109102,2020/11/24(星期二),05293638444523,197,33,3單3雙,0,0
2,109101,2020/11/20(星期五),16272935374831,192,32,4單2雙,0,0
3,109100,2020/11/17(星期二),06141820384129,137,23,1單5雙,0,0
4,109099,2020/11/13(星期五),07091215252947,97,16,5單1雙,0,0
5,109098,2020/11/10(星期二),05171921282943,119,20,5單1雙,0,0
6,109097,2020/11/6(星期五),05092539444602,168,28,4單2雙,0,0
7,109096,2020/11/3(星期二),06111530324429,138,23,2單4雙,0,0
8,109095,2020/10/30(星期五),06101319404507,133,22,3單3雙,0,0
9,109094,2020/10/27(星期二),02091928303235,120,20,2單4雙,0,0
10,109093,2020/10/23(星期五),03092025263539,118,20,4單2雙,0,0
11,109092,2020/10/20(星期二),05171828303913,137,23,3單3雙,0,0
12,109091,2020/10/16(星期五),07252833444719,184,31,4單2雙,0,0
13,109090,2020/10/13(星期二),01031527394120,126,21,6單0雙,74238386,2
14,109089,2020/10/9(星期五),02071925424706,142,24,4單2雙,0,0
15,109088,2020/10/6(星期二),04052223344037,128,21,2單4雙,0,0
16,109087,2020/10/2(星期五),11151618242646,110,18,2單4雙,0,0
17,109086,2020/9/29(星期二),01070833424731,138,23,4單2雙,0,0
18,109085,2020/9/25(星期五),10313536394827,199,33,3單3雙,92021586,1
19,109084,2020/9/22(星期二),03040508242907,73,12,3單3雙,0,0
20,109083,2020/9/18(星期五),03293032434435,181,30,3單3雙,0,0
21,109082,2020/9/15(星期二),07162932374821,169,28,3單3雙,91114911,1
22,109081,2020/9/11(星期五),01262939484909,192,32,4單2雙,0,0
23,109080,2020/9/8(星期二),01020920264836,106,18,2單4雙,0,0
24,109079,2020/9/4(星期五),02091113394335,117,20,5單1雙,0,0
25,109078,2020/9/1(星期二),01020608384324,98,16,2單4雙,126959210,1
26,109077,2020/8/28(星期五),13141922233624,127,21,3單3雙,0,0
27,109076,2020/8/25(星期二),02232835464833,182,30,2單4雙,0,0
28,109075,2020/8/21(星期五),05144044454632,194,32,2單4雙,0,0
29,109074,2020/8/18(星期二),04223043454715,191,32,3單3雙,0,0
30,109073,2020/8/14(星期五),16202425313337,149,25,3單3雙,0,0
31,109072,2020/8/11(星期二),08124042444705,193,32,1單5雙,128068129,1
32,109071,2020/8/7(星期五),06091940444501,163,27,3單3雙,0,0
33,109070,2020/8/4(星期二),01051119313306,100,17,6單0雙,0,0
34,109069,2020/7/31(星期五),16171819334525,148,25,4單2雙,0,0
35,109068,2020/7/28(星期二),08102223293502,127,21,3單3雙,0,0
36,109067,2020/7/24(星期五),02202124353709,139,23,3單3雙,0,0
37,109066,2020/7/21(星期二),03162531333614,144,24,4單2雙,133174768,1
38,109065,2020/7/17(星期五),05061525304129,122,20,4單2雙,0,0
39,109064,2020/7/14(星期二),04102429324943,148,25,2單4雙,0,0
40,109063,2020/7/10(星期五),04052227464941,153,26,3單3雙,0,0
41,109062,2020/7/7(星期二),04172234444613,167,28,1單5雙,0,0
42,109061,2020/7/3(星期五),13192024404533,161,27,3單3雙,155242715,1
43,109060,2020/6/30(星期二),26293143464906,224,37,4單2雙,0,0
44,109059,2020/6/26(星期五),10121637404105,156,26,2單4雙,0,0
