
11/20/2020,26 - 33 - 45 - 61 - 68,17,3,$188 Million,Roll, 
11/17/2020,8 - 13 - 35 - 46 - 68,16,3,$176 Million,Roll, 
11/13/2020,6 - 7 - 14 - 28 - 59,7,2,$165 Million,Roll, 
11/10/2020,23 - 45 - 53 - 58 - 62,13,5,$152 Million,Roll, 
11/06/2020,18 - 24 - 27 - 34 - 60,2,2,$142 Million,Roll, 
11/03/2020,7 - 31 - 44 - 45 - 55,19,3,$129 Million,Roll, 
10/30/2020,14 - 19 - 34 - 39 - 59,11,2,$118 Million,Roll, 
10/27/2020,6 - 13 - 34 - 46 - 62,1,3,$109 Million,Roll, 
10/23/2020,18 - 34 - 44 - 60 - 69,22,2,$97 Million,Roll, 
10/20/2020,46 - 54 - 57 - 58 - 66,10,3,$86 Million,Roll, 
10/16/2020,27 - 32 - 50 - 52 - 57,12,5,$77 Million,Roll, 
10/13/2020,11 - 44 - 45 - 46 - 70,25,2,$69 Million,Roll, 
10/09/2020,5 - 11 - 25 - 27 - 64,13,2,$60 Million,Roll, 
10/06/2020,15 - 16 - 18 - 39 - 59,17,3,$50 Million,Roll, 
10/02/2020,9 - 38 - 47 - 49 - 68,25,2,$41 Million,Roll, 
09/29/2020,14 - 39 - 43 - 44 - 67,19,3,$32 Million,Roll, 
09/25/2020,20 - 36 - 37 - 48 - 67,16,2,$24 Million,Roll, 
09/22/2020,36 - 43 - 44 - 55 - 68,12,4,$22 Million,Roll, 
09/18/2020,26 - 29 - 41 - 52 - 64,11,3,$20 Million,Roll, 
09/15/2020,25 - 28 - 38 - 59 - 62,22,4,$119 Million,Out of State Winner, 
09/11/2020,3 - 15 - 42 - 48 - 56,13,2,$108 Million,Roll, 
09/08/2020,7 - 10 - 15 - 31 - 57,21,2,$97 Million,Roll, 
09/04/2020,19 - 22 - 24 - 28 - 53,25,3,$88 Million,Roll, 
09/01/2020,15 - 25 - 26 - 38 - 47,22,4,$78 Million,Roll, 
08/28/2020,3 - 9 - 50 - 53 - 64,1,3,$68 Million,Roll, 
